image_id,filename,image_description,expected_moods,scene_type,model_name,poem_id,poem_title,poem_author,retrieval_score,retrieval_extra,semantic_fit,emotional_fit,overall_resonance,rationale
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,mode_content,1576,[Ocean which I pushed up],Joshua Beckman,0.5488896031460929,"parallel_retrieve mode='content' with weights: T1=0.50, T2=0.30, T3=0.15, T4=0.05",4,4,4,"The poem directly addresses the beach scene with vivid imagery of ocean, sand, and light that matches the image's visible elements. The emotional tone captures the warmth and brightness of the sunny beach while introducing a contemplative undercurrent about transience, which resonates with the golden, ephemeral quality of the sunset lighting. The pairing feels poetically compelling, though the poem's surreal, introspective nature adds complexity beyond the straightforward sunny beach description."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,mode_mood,5625,"You, Therefore",Reginald Shepherd,0.6857994580428926,"parallel_retrieve mode='mood' with weights: T1=0.15, T2=0.10, T3=0.60, T4=0.15",1,2,1,"The poem is an intimate love letter to a specific person (Robert Philen) with no connection to the beach scene's visible content—no water, sand, waves, or natural landscape imagery that matches the image. While the poem contains abstract references to water, flowers, and natural elements, these serve metaphorical purposes for human connection rather than describing an actual beach. The emotional tone is introspective and romantic rather than joyful and open as the bright, sunny beach suggests. The pairing feels arbitrary and lacks meaningful resonance."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,mode_balanced,1576,[Ocean which I pushed up],Joshua Beckman,0.4448611124336987,"parallel_retrieve mode='balanced' with weights: T1=0.40, T2=0.20, T3=0.30, T4=0.10",4,4,4,"The poem directly addresses the beach scene with vivid imagery of ocean, sand, and light that matches the image's visible elements. The emotional tone captures the warmth and brightness of the sunny beach while introducing a subtle melancholic undercurrent about transience, which resonates with the golden, ephemeral quality of the sunset lighting. The pairing feels poetically compelling, though the poem's surreal, introspective nature adds interpretive depth beyond the straightforward landscape."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,mode_creative,4794,"There's a certain Slant of light, (320)",Emily Dickinson,0.24397945805034738,"parallel_retrieve mode='creative' with weights: T1=0.05, T2=0.05, T3=0.55, T4=0.35",1,1,1,"Dickinson's poem describes winter afternoons with oppressive, melancholic light and themes of despair, which directly contradicts the image's bright, golden sunset on a sunny beach. The semantic content (winter, cathedral darkness, death) bears no meaningful connection to the visible scene. The emotional tone is profoundly mismatched—the poem conveys heaviness and internal suffering while the image radiates warmth, openness, and joy. This pairing fails across all dimensions."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,rerank_retrieve,5478,“The great sea ...”,Uvavnuk,0.694897270347183,Two-stage retrieve-then-rerank: Track 1 and Track 2 generate content candidates; Track 3 and Track 4 rescore those candidates for mood/emotional fit.,4,5,5,"The poem directly addresses the sea, wind, and natural forces visible in the image, creating strong semantic alignment with the beach landscape. The emotional tone of joy, freedom, and being moved by nature perfectly matches the bright, open, joyful mood conveyed by the golden sunlit beach and dynamic waves. The pairing feels deeply resonant, with the poem's celebration of natural forces capturing the essence of this luminous coastal moment."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,mode_content,5159,History Lesson,Natasha Trethewey,0.6999103252474016,"parallel_retrieve mode='content' with weights: T1=0.50, T2=0.30, T3=0.15, T4=0.05",2,3,2,"While the poem is set on a beach and shares the empty, reflective quality of the image, it focuses on a specific populated moment with a child and grandmother, contrasting sharply with the desolate, unpeopled beach shown. The poem's primary content concerns racial history and family memory rather than the solitary, atmospheric emptiness that dominates the image. The emotional melancholy aligns somewhat, but the semantic mismatch between a crowded memory and an empty landscape limits overall resonance."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,mode_mood,1684,The Ocean,Nathaniel Hawthorne,0.6841106387058911,"parallel_retrieve mode='mood' with weights: T1=0.15, T2=0.10, T3=0.60, T4=0.15",3,4,4,"The poem references the ocean and its depths, which semantically connects to the beach setting, though it doesn't directly address the visible beach elements like the sand, dunes, or wooden structure. However, the poem's themes of silence, solitude, and quiet depth align excellently with the image's lonely, reflective atmosphere. The contrast between surface turbulence and underlying calm mirrors the contemplative, melancholic mood of the empty dusk beach, creating strong emotional and poetic resonance."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,mode_balanced,1684,The Ocean,Nathaniel Hawthorne,0.596815976420132,"parallel_retrieve mode='balanced' with weights: T1=0.40, T2=0.20, T3=0.30, T4=0.10",4,5,4,"The poem's focus on the ocean's depths and quiet nature aligns well with the visible beach and seascape in the image. The emotional tone of silence, solitude, and introspection perfectly matches the lonely, melancholic atmosphere of the empty dusk beach. The contrast between surface turbulence and underlying calm resonates with the serene yet contemplative mood of the photograph."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,mode_creative,1357,Earth Light: I,Lynn Xu,0.2418261220897034,"parallel_retrieve mode='creative' with weights: T1=0.05, T2=0.05, T3=0.55, T4=0.35",1,2,1,"The poem contains abstract, surreal imagery (doors, guests, bullets, corpses, woodsmoke) that bears no clear connection to the beach setting, dusk atmosphere, or visible elements in the image. While the poem conveys a dark, melancholic tone that somewhat aligns with the image's lonely mood, the semantic disconnect is severe—there are no references to beaches, water, sand, sky, or any landscape elements present in the photograph. The pairing feels arbitrary rather than meaningfully resonant."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,rerank_retrieve,1684,The Ocean,Nathaniel Hawthorne,0.6910167508958877,Two-stage retrieve-then-rerank: Track 1 and Track 2 generate content candidates; Track 3 and Track 4 rescore those candidates for mood/emotional fit.,4,4,4,"The poem directly addresses the ocean and beach setting visible in the image, with references to waves and the sea's depths matching the coastal landscape. The poem's themes of silence, solitude, and quiet contemplation align well with the empty, dusk-lit beach atmosphere. The contrast between surface fury and underlying calm resonates with the serene yet somewhat melancholic mood of the desolate shoreline. The pairing feels cohesive and emotionally appropriate, though the poem's philosophical abstraction doesn't engage with specific visual details like the wooden structure or sand patterns."
3,3_forest_peaceful.jpg,Forest in soft daylight,"peaceful, calm, restorative",dominant_subject,mode_content,8116,Hawk,Wendy Videlock,0.6342097556975913,"parallel_retrieve mode='content' with weights: T1=0.50, T2=0.30, T3=0.15, T4=0.05",4,3,3,"The poem directly addresses forest imagery with vivid color language ('green is green and blue is blue') that matches the image's lush, verdant aesthetic. However, the poem's focus on a wounded hawk and solitary discovery introduces narrative elements not visually present in this peaceful, unpopulated forest scene. While the forest setting aligns well, the emotional tone of the poem—tinged with melancholy and isolation—only partially matches the image's serene, restorative atmosphere."
3,3_forest_peaceful.jpg,Forest in soft daylight,"peaceful, calm, restorative",dominant_subject,mode_mood,6666,To a Deaf and Dumb Little Girl,Hartley Coleridge,0.6071536281402037,"parallel_retrieve mode='mood' with weights: T1=0.15, T2=0.10, T3=0.60, T4=0.15",1,2,1,"The poem is about a deaf and dumb girl and explores themes of isolation and disability, which has no connection to the forest landscape visible in the image. While the poem contains some peaceful/calm language ('calm and good,' 'solitude'), its primary subject matter and semantic content are entirely disconnected from the forest scene. The pairing feels arbitrary rather than meaningfully resonant."
3,3_forest_peaceful.jpg,Forest in soft daylight,"peaceful, calm, restorative",dominant_subject,mode_balanced,8116,Hawk,Wendy Videlock,0.5259922820623836,"parallel_retrieve mode='balanced' with weights: T1=0.40, T2=0.20, T3=0.30, T4=0.10",4,3,3,"The poem directly addresses forest imagery with vivid color language ('green is green and blue is blue') that matches the image's lush, verdant aesthetic. However, the poem's focus on a wounded hawk and solitary discovery introduces narrative elements not visually present in this peaceful, unpopulated forest scene. While the forest setting aligns well, the emotional tone of the poem—tinged with melancholy and isolation—only partially matches the image's serene, restorative atmosphere."
3,3_forest_peaceful.jpg,Forest in soft daylight,"peaceful, calm, restorative",dominant_subject,mode_creative,8658,In Memoriam A. H. H. OBIIT MDCCCXXXIII: 7,"Alfred, Lord Tennyson",0.21536224233251536,"parallel_retrieve mode='creative' with weights: T1=0.05, T2=0.05, T3=0.55, T4=0.35",1,2,1,"The poem describes an urban street scene with a dark house, rain, and grief—completely disconnected from the forest landscape with soft daylight shown in the image. While both could evoke introspection, the semantic content (city vs. forest) is fundamentally mismatched. The poem's melancholic tone of loss and mourning contrasts sharply with the image's peaceful, restorative atmosphere of natural light filtering through trees."
3,3_forest_peaceful.jpg,Forest in soft daylight,"peaceful, calm, restorative",dominant_subject,rerank_retrieve,8116,Hawk,Wendy Videlock,0.6773866501014056,Two-stage retrieve-then-rerank: Track 1 and Track 2 generate content candidates; Track 3 and Track 4 rescore those candidates for mood/emotional fit.,4,4,4,"The poem directly addresses forest imagery with vivid color language ('green is green and blue is blue') that matches the image's lush, verdant palette and atmospheric lighting. The contemplative tone of walking through the forest and observing wildlife aligns well with the peaceful, restorative mood conveyed by the soft daylight and serene woodland setting. The poem's focus on solitude and discovery in nature resonates strongly with the image's tranquil, immersive forest atmosphere."
4,4_forest_foggy.jpg,Foggy forest,"mysterious, tense, uncertain",dominant_subject,mode_content,8116,Hawk,Wendy Videlock,0.7820082462321558,"parallel_retrieve mode='content' with weights: T1=0.50, T2=0.30, T3=0.15, T4=0.05",2,2,2,"The poem mentions 'forest' and walking through it, which provides basic semantic overlap with the foggy forest image. However, the poem focuses on a hawk with a 'yellow eyes and busted wing' and emphasizes clarity ('green is green and blue is blue'), which contrasts sharply with the image's dominant characteristics of fog, obscurity, and muted tones. The poem's tone is observational and somewhat whimsical, failing to capture the mysterious, tense, and uncertain atmosphere that defines this heavily fogged, dark woodland scene."
4,4_forest_foggy.jpg,Foggy forest,"mysterious, tense, uncertain",dominant_subject,mode_mood,865,Inventing a Horse,Meghan O'Rourke,0.6936298915527861,"parallel_retrieve mode='mood' with weights: T1=0.15, T2=0.10, T3=0.60, T4=0.15",1,2,1,"The poem is about inventing and caring for a horse, with no visible connection to the foggy forest setting, trees, or landscape elements in the image. While the poem contains some nature imagery (tree roots, timber wolves, river, trees, fields), it focuses on human domestication and imagination rather than the mysterious, tense atmosphere of the foggy forest. The pairing feels arbitrary and lacks meaningful thematic or visual coherence."
