image_id,filename,image_description,expected_moods,scene_type,model_name,poem_id,poem_title,poem_author,retrieval_score,retrieval_extra,semantic_fit,emotional_fit,overall_resonance,rationale
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,track_1_clip_semantic,1576,[Ocean which I pushed up],Joshua Beckman,0.2549091577529907,,4,4,4,"The poem directly addresses the beach scene with vivid imagery of ocean, sand, and sunlight that matches the image's visible content. The emotional tone captures both the warmth and brightness of the sunny beach while introducing a subtle melancholic undercurrent about transience, which resonates with the golden, ephemeral quality of the sunset lighting. The pairing feels poetically compelling, though the poem's darker philosophical turn slightly tempers the purely joyful mood suggested by the metadata."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,track_2_blip_caption,1684,The Ocean,Nathaniel Hawthorne,0.7861533761024475,"Consensus caption: beach, wave, ocean, surfboard",3,2,2,"The poem addresses the ocean and waves, which are visible in the image, providing basic semantic alignment. However, the poem's focus on deep caves, silence, and hidden depths contrasts sharply with the image's bright, sunlit, energetic beach scene. The melancholic, introspective tone of the poem poorly matches the joyful, open, and luminous mood conveyed by the golden hour lighting and dynamic waves."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,track_3_clip_sbert_mood,6666,To a Deaf and Dumb Little Girl,Hartley Coleridge,0.28177569806575775,"Expanded mood query: something that feels overwhelmingly sublime and deeply peaceful, somewhat lonely, with hints of surreal and contemplative, with themes of open space, distance, expanse, wonder, grandeur, ease, breath, soft light, settling, quiet, isolation, absence, solitude, distance, waiting",2,3,2,"The poem's central subject is a deaf and dumb girl and themes of isolation/solitude, which do not match the image's visible content of a sunny beach scene. However, the poem's emotional tone of solitude, contemplation, and peaceful acceptance aligns moderately with the retrieval model's mood query. The pairing feels conceptually mismatched despite some atmospheric overlap—the poem's darkness and human suffering contrast with the image's bright, joyful beach setting."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,track_4_handcrafted_cv,6614,I dwell in Possibility – (466),Emily Dickinson,0.28301285207271576,"Expanded handcrafted query: something that feels overwhelmingly cozy and deeply hopeful, somewhat sublime, with hints of peaceful and contemplative, with themes of shelter, comfort, home, softness, belonging, dawn, possibility, growth, renewal, aspiration, open space, distance, expanse, wonder, grandeur; warm=0.731, brightness=0.666, contrast=0.606, edge_density=0.042",2,4,3,"The poem's imagery of sky, openness, and expansive space aligns with the beach scene's vast horizon and bright atmosphere, but the poem's central metaphor of a 'house' of possibility lacks direct connection to the visible beach, ocean, and sand. The emotional tone of hope, wonder, and sublime contemplation matches the image's bright, uplifting mood very well. While the pairing captures a shared sense of aspiration and openness, the semantic disconnect between domestic/architectural language and the natural seascape limits overall resonance."
1,1_beach_sunny.jpg,Sunny beach,"joyful, open, bright",dominant_subject,rerank_retrieve,5478,“The great sea ...”,Uvavnuk,0.7121963812741864,Integrated rerank using content candidates from Track 1/2 and mood scoring from Track 3/4.,4,5,5,"The poem directly addresses the sea, wind, and earth—all prominent visual elements in this beach scene. The imagery of water's movement and natural forces aligns perfectly with the visible waves and coastal setting. The emotional tone of joy and liberation matches the bright, open, uplifting atmosphere conveyed by the golden sunlight and expansive seascape. The pairing creates a compelling resonance between the poem's celebration of natural forces and the image's serene yet dynamic beach environment."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,track_1_clip_semantic,5159,History Lesson,Natasha Trethewey,0.2814345955848694,,2,3,2,"While the poem depicts a beach scene with similar visual elements (sand, water, solitude), it focuses on a populated moment with a child and grandmother, contrasting sharply with the image's empty, desolate beach. The poem's primary subject is racial history and family memory rather than the barren, contemplative landscape shown. The emotional melancholy differs—the poem centers on resilience and historical reflection, while the image conveys isolation and quietude."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,track_2_blip_caption,1684,The Ocean,Nathaniel Hawthorne,0.7534782886505127,"Consensus caption: beach, ocean, surfboard",3,4,3,"The poem addresses the ocean and its depths, which matches the beach/ocean setting visible in the image, though it doesn't directly reference the empty beach, dunes, or wooden structure. The poem's contemplative tone about silence, solitude, and hidden depths aligns well with the melancholic, lonely atmosphere of the empty dusk beach. However, the pairing feels somewhat generic—the poem could apply to many ocean scenes and doesn't capture the specific visual emptiness or architectural elements present in this particular image."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,track_3_clip_sbert_mood,8307,Sanctuary,Jean Valentine,0.2983073592185974,"Expanded mood query: something that feels overwhelmingly lonely and deeply peaceful, somewhat desolate, with hints of sublime and mysterious, with themes of isolation, absence, solitude, distance, waiting, ease, breath, soft light, settling, quiet, abandonment, emptiness, ruins, decay, silence",2,4,3,"The poem focuses on interpersonal dialogue, solitude, and existential questions about death and connection, which doesn't directly match the image's visible content of an empty beach with a wooden structure. However, the poem's exploration of solitude, silence, listening, and the weight of absence aligns strongly with the melancholic, lonely atmosphere of the desolate beach scene. The pairing creates emotional resonance through shared themes of isolation and introspection, though the semantic disconnect between intimate human conversation and empty landscape limits overall coherence."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,track_4_handcrafted_cv,8407,Upon Time and Eternity,John Bunyan,0.2411327138543129,"Expanded handcrafted query: something that feels overwhelmingly surreal and deeply sublime, somewhat mysterious, with hints of chaotic and cozy, with themes of dream, distortion, unreality, hallucination, otherworldly, open space, distance, expanse, wonder, grandeur, uncertainty, shadows, strangeness, fear, mystery; warm=0.471, brightness=0.587, contrast=0.865, edge_density=0.326",2,2,2,"The poem is an abstract philosophical meditation on time and eternity using geometric metaphors (ring, measure), which has minimal connection to the image's concrete visual content of an empty beach, dunes, and wooden structure. While the image evokes vastness and timelessness, the poem's intellectual abstraction about temporal concepts doesn't engage with the beach's sensory or atmospheric qualities. The expected moods of loneliness and melancholy are absent from Bunyan's detached, metaphysical verse."
2,2_beach_empty.jpg,Empty beach at dusk,"lonely, reflective, melancholic",dominant_subject,rerank_retrieve,1684,The Ocean,Nathaniel Hawthorne,0.6888120273202826,Integrated rerank using content candidates from Track 1/2 and mood scoring from Track 3/4.,3,4,3,"The poem references the ocean and its depths, which aligns with the beach setting, though it focuses on underwater caves rather than the visible beach landscape. The emotional tone of quietness, solitude, and melancholy matches the image's lonely, reflective atmosphere well. However, the pairing feels somewhat indirect—the poem's meditation on hidden depths beneath surface turbulence doesn't directly engage with the image's primary visual content of an empty, calm beach at dusk."
